filepath,name,docstring,args,return_annotation,decorators
c:\mygit\compuse\computer_use_demo\tools\edit.py,validate_path,"Check that the path/command combination is valid in a cross-platform manner.
param command: The command that the user is trying to run.","[{'name': 'self', 'type_annotation': None, 'default_value': None}, {'name': 'command', 'type_annotation': 'str', 'default_value': None}, {'name': 'path', 'type_annotation': 'Path', 'default_value': None}]",,[]
c:\mygit\compuse\computer_use_demo\tools\edit.py,str_replace,"Implement the str_replace command, which replaces old_str with new_str in the file content.","[{'name': 'self', 'type_annotation': None, 'default_value': None}, {'name': 'path', 'type_annotation': 'Path', 'default_value': None}, {'name': 'old_str', 'type_annotation': 'str', 'default_value': None}, {'name': 'new_str', 'type_annotation': 'Optional[str]', 'default_value': None}]",ToolResult,[]
c:\mygit\compuse\computer_use_demo\tools\edit.py,insert,"Implement the insert command, which inserts new_str at the specified line in the file content.","[{'name': 'self', 'type_annotation': None, 'default_value': None}, {'name': 'path', 'type_annotation': 'Path', 'default_value': None}, {'name': 'insert_line', 'type_annotation': 'int', 'default_value': None}, {'name': 'new_str', 'type_annotation': 'str', 'default_value': None}]",ToolResult,[]
c:\mygit\compuse\computer_use_demo\tools\edit.py,ensure_valid_repo_path,,"[{'name': 'filename', 'type_annotation': 'str', 'default_value': None}]",str,[]
c:\mygit\compuse\computer_use_demo\tools\edit.py,undo_edit,Implement the undo_edit command.,"[{'name': 'self', 'type_annotation': None, 'default_value': None}, {'name': 'path', 'type_annotation': 'Path', 'default_value': None}]",ToolResult,[]
c:\mygit\compuse\computer_use_demo\tools\edit.py,read_file,,"[{'name': 'self', 'type_annotation': None, 'default_value': None}, {'name': 'path', 'type_annotation': 'Path', 'default_value': None}]",str,[]
c:\mygit\compuse\computer_use_demo\tools\edit.py,write_file,,"[{'name': 'self', 'type_annotation': None, 'default_value': None}, {'name': 'path', 'type_annotation': 'Path', 'default_value': None}, {'name': 'file', 'type_annotation': 'str', 'default_value': None}]",,[]
c:\mygit\compuse\computer_use_demo\tools\edit.py,_make_output,Generate output for the CLI based on the content of a file.,"[{'name': 'self', 'type_annotation': None, 'default_value': '1'}, {'name': 'file_content', 'type_annotation': 'str', 'default_value': 'True'}, {'name': 'file_descriptor', 'type_annotation': 'str', 'default_value': None}, {'name': 'init_line', 'type_annotation': 'int', 'default_value': None}, {'name': 'expand_tabs', 'type_annotation': 'bool', 'default_value': None}]",str,[]
c:\mygit\compuse\computer_use_demo\tools\example_tool.py,name,,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",str,['property']
c:\mygit\compuse\computer_use_demo\tools\example_tool.py,description,,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",str,['property']
c:\mygit\compuse\computer_use_demo\tools\example_tool.py,__init__,,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",,[]
c:\mygit\compuse\computer_use_demo\tools\example_tool.py,__call__,,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",str,[]
c:\mygit\compuse\computer_use_demo\tools\expert.py,to_params,,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",dict,[]
c:\mygit\compuse\computer_use_demo\tools\gotourl_reports.py,options,,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",Options,['property']
c:\mygit\compuse\computer_use_demo\tools\gotourl_reports.py,to_params,,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",dict,[]
c:\mygit\compuse\computer_use_demo\tools\playwright.py,__init__,Initializes the WebNavigatorTool with optional download directory and API credentials.,"[{'name': 'self', 'type_annotation': None, 'default_value': 'None'}, {'name': 'download_dir', 'type_annotation': 'Optional[str]', 'default_value': 'None'}, {'name': 'api_credentials', 'type_annotation': 'Optional[Dict[str, Any]]', 'default_value': None}]",,[]
c:\mygit\compuse\computer_use_demo\tools\playwright.py,to_params,"Defines the parameters for the tool, specifying the input schema.","[{'name': 'self', 'type_annotation': None, 'default_value': None}]",dict,[]
c:\mygit\compuse\computer_use_demo\tools\playwright.py,_create_structured_content,Creates a structured representation of the content.,"[{'name': 'self', 'type_annotation': None, 'default_value': None}, {'name': 'soup', 'type_annotation': 'BeautifulSoup', 'default_value': None}]",str,[]
c:\mygit\compuse\computer_use_demo\tools\playwright.py,integrate_external_api,Integrates with an external API and returns the response.,"[{'name': 'self', 'type_annotation': None, 'default_value': 'None'}, {'name': 'api_url', 'type_annotation': 'str', 'default_value': None}, {'name': 'params', 'type_annotation': 'Optional[Dict[str, Any]]', 'default_value': None}]",Any,[]
c:\mygit\compuse\computer_use_demo\tools\playwright.py,get_session_history,Returns the session history for contextual awareness.,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",str,[]
c:\mygit\compuse\computer_use_demo\tools\run.py,maybe_truncate,Truncate content and append a notice if content exceeds the specified length.,"[{'name': 'content', 'type_annotation': 'str', 'default_value': 'MAX_RESPONSE_LEN'}, {'name': 'truncate_after', 'type_annotation': 'int | None', 'default_value': None}]",,[]
c:\mygit\compuse\computer_use_demo\tools\windows_navigation.py,__init__,Initialize the WindowsNavigationTool with shortcuts configuration.,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",,[]
c:\mygit\compuse\computer_use_demo\tools\windows_navigation.py,_load_shortcuts,Load keyboard shortcuts from JSON file.,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]","Dict[str, Any]",[]
c:\mygit\compuse\computer_use_demo\tools\windows_navigation.py,to_params,Define the parameters for the tool.,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",dict,[]
c:\mygit\compuse\computer_use_demo\tools\windows_navigation.py,get_session_history,Returns the session history of navigation actions.,"[{'name': 'self', 'type_annotation': None, 'default_value': None}]",str,[]
